time	V(out)
3.124240118929338e-03	3.270375e+00
3.125327079286225e-03	3.272852e+00
3.126414039643113e-03	3.275592e+00
3.127501000000000e-03	3.278594e+00
3.127501300000001e-03	3.278595e+00
3.127501600000000e-03	3.278596e+00
3.127502000000000e-03	3.278597e+00
3.132436245000255e-03	3.290779e+00
3.137370490000511e-03	3.300980e+00
3.142304735000766e-03	3.309201e+00
3.147238980001021e-03	3.315442e+00
3.152173225001277e-03	3.319701e+00
3.157107470001532e-03	3.321981e+00
3.162041715001787e-03	3.322279e+00
3.166924527501787e-03	3.320958e+00
3.171807340001787e-03	3.317971e+00
3.176690152501787e-03	3.313383e+00
3.181572965001787e-03	3.307259e+00
3.186455777501787e-03	3.299660e+00
3.188390666430103e-03	3.296343e+00
3.190325555358419e-03	3.292799e+00
3.192260444286736e-03	3.289027e+00
3.194195333215051e-03	3.285029e+00
3.196130222143368e-03	3.280802e+00
3.198065111071684e-03	3.276349e+00
3.200000000000000e-03	3.271668e+00
3.200000100000000e-03	3.271668e+00
3.200000300000000e-03	3.271667e+00
3.200000600000000e-03	3.271667e+00
3.200001000000000e-03	3.271666e+00
3.201447521785970e-03	3.268465e+00
3.202894043571939e-03	3.265703e+00
3.204340565357909e-03	3.263378e+00
3.205787087143879e-03	3.261492e+00
3.207233608929848e-03	3.260045e+00
3.208680130715818e-03	3.259035e+00
3.210126652501788e-03	3.258464e+00
3.215009465001788e-03	3.258768e+00
3.219892277501787e-03	3.263096e+00
3.220979237858675e-03	3.264524e+00
3.222066198215562e-03	3.266214e+00
3.223153158572450e-03	3.268167e+00
3.224240118929337e-03	3.270382e+00
3.225327079286225e-03	3.272860e+00
3.226414039643113e-03	3.275599e+00
3.227501000000000e-03	3.278602e+00
3.227501300000000e-03	3.278603e+00
3.227501600000000e-03	3.278603e+00
3.227502000000000e-03	3.278605e+00
3.232436245000255e-03	3.290786e+00
3.237370490000511e-03	3.300988e+00
3.242304735000766e-03	3.309208e+00
3.247238980001021e-03	3.315449e+00
3.252173225001276e-03	3.319708e+00
3.257107470001532e-03	3.321987e+00
3.262041715001787e-03	3.322286e+00
3.266924527501787e-03	3.320965e+00
3.271807340001787e-03	3.317977e+00
3.276690152501787e-03	3.313390e+00
3.281572965001787e-03	3.307265e+00
3.286455777501787e-03	3.299666e+00
3.288390666430103e-03	3.296349e+00
3.290325555358419e-03	3.292805e+00
3.292260444286735e-03	3.289033e+00
3.294195333215051e-03	3.285034e+00
3.296130222143367e-03	3.280808e+00
3.298065111071684e-03	3.276355e+00
3.300000000000000e-03	3.271674e+00
3.300000100000000e-03	3.271673e+00
3.300000300000000e-03	3.271673e+00
3.300000600000000e-03	3.271672e+00
3.300001000000000e-03	3.271671e+00
3.301447521785969e-03	3.268471e+00
3.302894043571939e-03	3.265708e+00
3.304340565357909e-03	3.263384e+00
3.305787087143879e-03	3.261498e+00
3.307233608929848e-03	3.260050e+00
3.308680130715818e-03	3.259041e+00
3.310126652501787e-03	3.258469e+00
3.315009465001787e-03	3.258773e+00
3.319892277501787e-03	3.263101e+00
3.320979237858675e-03	3.264529e+00
3.322066198215562e-03	3.266219e+00
3.323153158572450e-03	3.268172e+00
3.324240118929337e-03	3.270387e+00
3.325327079286225e-03	3.272865e+00
3.326414039643112e-03	3.275604e+00
3.327501000000000e-03	3.278607e+00
3.327501300000000e-03	3.278607e+00
3.327501600000000e-03	3.278608e+00
3.327502000000000e-03	3.278609e+00
3.332436245000255e-03	3.290791e+00
3.337370490000511e-03	3.300992e+00
3.342304735000766e-03	3.309213e+00
3.347238980001021e-03	3.315453e+00
3.352173225001276e-03	3.319713e+00
3.357107470001532e-03	3.321992e+00
3.362041715001787e-03	3.322290e+00
3.366924527501787e-03	3.320969e+00
3.371807340001787e-03	3.317981e+00
3.376690152501787e-03	3.313393e+00
3.381572965001787e-03	3.307269e+00
3.386455777501786e-03	3.299670e+00
3.388390666430103e-03	3.296353e+00
3.390325555358419e-03	3.292808e+00
3.392260444286735e-03	3.289037e+00
3.394195333215051e-03	3.285038e+00
3.396130222143367e-03	3.280812e+00
3.398065111071684e-03	3.276358e+00
3.400000000000000e-03	3.271677e+00
3.400000100000000e-03	3.271677e+00
3.400000300000000e-03	3.271676e+00
3.400000600000000e-03	3.271676e+00
3.400001000000000e-03	3.271675e+00
3.401447521785970e-03	3.268474e+00
3.402894043571940e-03	3.265712e+00
3.404340565357909e-03	3.263387e+00
3.405787087143879e-03	3.261501e+00
3.407233608929848e-03	3.260054e+00
3.408680130715818e-03	3.259044e+00
3.410126652501788e-03	3.258472e+00
3.415009465001788e-03	3.258776e+00
3.419892277501788e-03	3.263104e+00
3.420979237858675e-03	3.264532e+00
3.422066198215563e-03	3.266222e+00
3.423153158572450e-03	3.268175e+00
3.424240118929338e-03	3.270390e+00
3.425327079286225e-03	3.272867e+00
3.426414039643113e-03	3.275607e+00
3.427501000000000e-03	3.278610e+00
3.427501300000000e-03	3.278610e+00
3.427501600000000e-03	3.278611e+00
3.427502000000000e-03	3.278612e+00
3.432436245000255e-03	3.290794e+00
3.437370490000511e-03	3.300995e+00
3.442304735000766e-03	3.309216e+00
3.447238980001021e-03	3.315456e+00
3.452173225001277e-03	3.319715e+00
3.457107470001532e-03	3.321994e+00
3.462041715001787e-03	3.322292e+00
3.466924527501787e-03	3.320971e+00
3.471807340001787e-03	3.317983e+00
3.476690152501787e-03	3.313396e+00
3.481572965001787e-03	3.307271e+00
3.486455777501787e-03	3.299672e+00
3.488390666430103e-03	3.296355e+00
3.490325555358419e-03	3.292810e+00
3.492260444286736e-03	3.289039e+00
3.494195333215051e-03	3.285040e+00
3.496130222143368e-03	3.280813e+00
3.498065111071684e-03	3.276360e+00
3.500000000000000e-03	3.271679e+00
3.500000100000000e-03	3.271679e+00
3.500000300000000e-03	3.271678e+00
